Player ID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Cro,Dri,Fre,Fin,Fir,Fla,Lon,OtB,Pas,Vis,Acc,Ant,Hea,Jum,Mar,Pac,Pos,Sta,Str,Tck,Agi,Bal,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Ref,TRO,Pun,Thr,Agg,Bra,Cmp,Cnt,Dec,Det,Ldr,Tea,Wor,Cor,L Th,Pen,Tec,Best Pos,Best Role,Best Duty,Agreed Playing Time,F/PT,Wage,Expires
17,Joseph Aidoo,D (C),Celta Vigo,GHA,184 cm,80 kg,29,8400000.0,7,8,8,4,11,7,7,8,10,9,14,12,14,13,14,15,13,15,18,15,14,15,3,4,1,1,1,3,3,2,1,3,3,15,17,11,12,12,14,11,12,14,7,9,6,11,D (C),Wide Centre-Back,Defend,Regular Starter,Full Time,29000.0,30/6/2024
18,Aimar,AM (LC),Osasuna,ESP,177 cm,70 kg,23,30000000.0,13,14,12,11,16,16,10,11,15,15,13,12,8,8,6,13,11,12,12,11,14,12,3,3,1,3,2,2,3,1,3,3,1,6,12,15,13,15,14,13,14,12,11,6,16,16,"M (C), AM (RLC), ST (RL)",Advanced Playmaker,Support,Regular Starter,Full Time,21000.0,30/6/2024
19,Aitor FernÃ¡ndez,GK,Osasuna,ESP,182 cm,78 kg,34,0.0,3,1,9,2,10,1,2,3,11,9,11,14,9,12,3,11,13,12,10,2,13,12,13,13,14,5,13,13,15,16,14,8,13,12,12,13,14,14,14,9,14,12,6,2,3,10,GK,Sweeper Keeper,Defend,Important Player,Full Time,25500.0,30/6/2025
20,Joshua Ajala,ST (C),West Ham,ENG,186 cm,76 kg,18,275000.0,4,13,5,8,13,10,4,7,6,4,14,9,13,11,4,12,3,9,7,1,10,8,1,2,4,1,2,2,2,1,1,2,3,14,6,9,4,6,10,7,6,6,2,1,2,10,ST (C),Advanced Forward,Attack,Youngster,Full Time,1200.0,30/6/2024
21,Manuel Akanji,D (RC),Inter,SUI,187 cm,91 kg,29,45000000.0,8,11,9,6,13,9,11,9,13,13,14,15,13,15,15,15,13,14,17,16,13,13,2,3,2,2,1,3,4,2,2,1,2,13,16,16,15,13,14,10,14,13,4,12,8,12,D (C),Wide Centre-Back,Defend,-,Full Time,210000.0,30/6/2025
22,Yusuf Akhamrich,"AM (RL), ST (C)",Tottenham,ENG,186 cm,75 kg,19,140000.0,9,8,5,12,12,10,3,12,9,7,12,6,11,11,1,12,5,8,4,3,12,6,1,3,2,2,1,1,3,4,2,3,1,5,7,8,5,7,14,3,6,7,5,1,4,9,ST (C),Inside Forward,Attack,Youngster,Full Time,725.0,30/6/2026
23,Hiroki Akiyama,"DM, AM (C)",Darmstadt 98,JPN,176 cm,70 kg,24,1400000.0,6,13,10,10,16,11,3,6,17,13,13,16,13,12,9,10,9,11,13,14,12,8,3,2,2,2,1,1,2,1,3,1,1,10,8,12,4,13,11,6,8,13,6,9,10,16,"DM, M (C)",Deep Lying Playmaker,Defend,-,Full Time,4200.0,31/1/2025
24,Maghnes Akliouche,"M (C), AM (RLC)",Monaco,FRA,183 cm,63 kg,23,48000000.0,14,15,12,11,15,14,12,14,14,14,13,12,8,8,7,13,9,13,9,8,16,12,3,1,2,2,3,1,3,4,2,1,3,13,12,14,14,13,14,12,13,15,13,5,12,15,"M (C), AM (RLC), ST (RL)",Winger,Support,Important Player,Full Time,25500.0,30/6/2026
25,Tyron Akpata,"DM, M (C)",West Ham,ENG,168 cm,61 kg,18,110000.0,7,7,7,6,14,5,9,9,13,13,5,10,7,1,4,6,6,7,3,9,7,12,1,3,3,1,2,1,1,2,1,2,3,14,7,7,7,9,14,12,14,13,3,1,2,9,"DM, M (C)",Central Midfielder,Defend,Youngster,Full Time,250.0,30/6/2024
26,David Alaba,"D (LC), WB (L), M (C)",Real Madrid,AUT,180 cm,78 kg,33,10500000.0,12,12,15,10,15,12,14,14,16,13,15,14,13,12,14,15,15,14,13,13,13,14,2,3,3,3,1,3,1,3,2,1,2,13,12,14,14,14,16,15,15,14,12,13,14,15,D/WB (RL),Inverted Wing-Back,Defend,Squad Player,Full Time,500000.0,30/6/2024
27,Zane Albarus,"DM, M (C)",Brighton,ENG,194 cm,82 kg,19,220000.0,5,5,5,6,13,6,11,7,13,13,10,4,5,12,8,9,8,8,6,5,7,6,1,1,2,2,1,2,2,4,1,4,1,10,7,7,7,11,12,6,6,11,4,1,3,13,"DM, M (C)",Central Midfielder,Support,Youngster,Full Time,625.0,30/6/2024
28,Aji Alese,D (LC),Sunderland,ENG,194 cm,74 kg,24,2600000.0,10,13,2,9,11,7,2,10,11,10,14,12,12,15,13,15,13,15,12,12,13,11,3,1,2,1,4,2,1,2,3,2,1,10,13,12,12,11,12,14,12,11,1,10,4,12,D/WB (RL),Wide Centre-Back,Defend,Fringe Player,Full Time,7000.0,30/6/2025
29,Sotiris Alexandropoulos,"DM, M (C)",Fortuna DÃ¼sseldorf,GRE,186 cm,71 kg,23,1100000.0,8,12,8,7,11,12,11,11,12,10,16,11,10,12,11,16,10,14,10,13,15,14,1,3,2,1,3,1,2,1,2,2,3,15,15,11,9,9,15,10,12,14,7,7,6,12,"DM, M (C)",Ball Winning Midfielder,Support,-,Full Time,15500.0,30/6/2024
30,Alexsandro Ribeiro,D (C),Lille,BRA,192 cm,88 kg,25,8600000.0,6,8,6,8,11,11,7,7,10,11,12,13,15,15,14,13,15,14,15,13,10,14,3,3,1,3,3,3,1,2,1,3,3,15,15,11,12,12,13,8,13,14,4,8,8,10,D (C),Wide Centre-Back,Defend,Important Player,Full Time,26000.0,30/6/2024
31,Farhaan Ali Wahid,AM (RL),Fulham,ENG,159 cm,53 kg,19,140000.0,8,9,4,6,6,13,11,8,10,4,12,6,4,1,2,12,2,10,2,4,12,8,1,2,2,1,1,3,3,1,3,2,4,5,5,10,1,10,12,8,6,10,5,1,1,4,"M/AM (RL), ST (RL)",Inverted Winger,Support,Youngster,Full Time,475.0,30/6/2024
32,Mirsad Ali,D/WB (L),Leicester,ENG,177 cm,64 kg,19,850000.0,13,11,1,7,9,9,3,6,9,4,14,8,9,4,9,13,5,9,4,11,9,9,3,1,2,3,1,3,3,1,2,1,3,12,9,8,9,12,16,12,13,13,6,5,2,9,D/WB (RL),Complete Wing-Back,Support,Future Prospect,Full Time,575.0,30/6/2024
33,Zack Ali,D (C),Bristol City,WAL,185 cm,75 kg,19,65000.0,1,4,1,4,7,5,6,6,6,6,11,9,14,8,12,8,12,5,5,14,7,7,2,2,3,1,4,1,2,3,2,2,3,8,8,7,10,9,14,7,6,7,3,2,1,6,D (C),No-Nonsense Centre-Back,Defend,Youngster,Full Time,600.0,30/6/2024
34,Cruz Allen,"M (C), AM (RC)",Derby County,WAL,176 cm,63 kg,18,170000.0,5,6,6,9,12,10,6,8,11,11,12,2,4,4,4,12,6,7,2,6,12,5,3,1,2,2,3,1,1,1,3,2,2,13,6,3,6,12,16,8,5,7,7,1,5,8,"AM (RL), ST (RL)",Central Midfielder,Support,Youngster,Youth Contract,65.0,30/6/2024
35,Jamie Allen,"DM, M (C)",Coventry,ENG,171 cm,59 kg,30,4600000.0,12,13,11,12,13,8,14,11,13,12,12,14,7,6,10,12,8,13,10,11,13,12,3,2,1,3,3,1,2,1,2,2,1,13,15,12,11,12,14,13,16,19,12,5,8,12,"DM, M (C)",Ball Winning Midfielder,Support,Squad Player,Full Time,5750.0,30/6/2024
36,Michael Allen,GK,Fulham,ENG,197 cm,82 kg,20,100000.0,3,1,7,2,1,2,2,2,7,5,11,7,1,14,1,11,9,3,5,1,8,6,11,5,9,5,13,10,8,8,15,8,6,5,15,6,13,13,11,1,6,5,3,2,3,1,GK,Goalkeeper,Defend,Youngster,Full Time,575.0,30/6/2024
37,Eder Aller,GK,Barcelona,ESP,184 cm,71 kg,18,425000.0,1,3,6,3,10,7,1,2,10,9,11,9,7,11,2,9,10,7,8,1,12,9,11,9,9,8,12,8,9,11,12,12,9,7,10,8,8,10,13,9,8,7,3,2,6,9,GK,Sweeper Keeper,Defend,Youngster,Full Time,450.0,30/6/2024
38,Max Alleyne,D (C),Watford,ENG,187 cm,78 kg,19,1200000.0,3,6,3,4,9,6,8,6,8,6,13,11,12,12,14,9,12,7,7,14,11,10,2,3,1,2,1,3,2,3,3,2,3,15,10,8,8,14,8,8,8,10,5,3,2,8,D (C),Central Defender,Defend,-,Full Time,3500.0,30/6/2028
39,Mattia Almaviva,M/AM (L),Roma,ITA,183 cm,72 kg,19,110000.0,9,7,1,8,10,8,4,10,6,7,13,6,4,6,3,13,3,4,3,1,13,5,1,4,3,4,2,1,2,3,2,1,2,8,6,9,5,5,11,2,6,9,5,4,4,7,"M/AM (RL), ST (RL)",Winger,Support,Youngster,Full Time,475.0,30/6/2024
40,AndrÃ© Almeida,M/AM (C),Valencia,POR,176 cm,66 kg,25,10500000.0,14,15,12,10,14,12,14,13,15,14,13,12,5,6,9,13,11,13,10,10,13,15,1,3,2,3,4,2,3,1,3,3,1,11,13,13,12,15,14,8,15,13,12,5,12,14,"M (C), AM (RLC), ST (RL)",Central Midfielder,Support,Regular Starter,Full Time,13500.0,30/6/2027
41,Hugo Ãlvarez,M/AM (C),Celta Vigo,ESP,169 cm,67 kg,22,8199999.999999999,10,13,13,10,15,13,10,15,13,13,13,13,7,10,8,12,10,13,11,9,15,11,1,1,3,1,1,4,3,3,1,1,1,13,8,13,10,13,14,8,15,12,12,9,12,15,"M (C), AM (RLC), ST (RL)",Advanced Playmaker,Support,Squad Player,Full Time,17500.0,30/6/2026
42,Ãlvaro GarcÃ­a,M/AM (L),Rayo Vallecano,ESP,168 cm,58 kg,32,0.0,11,12,8,12,12,12,9,14,10,11,18,13,6,5,7,19,8,12,8,7,16,11,4,3,3,2,1,2,3,4,1,3,3,10,12,11,12,12,14,8,13,14,9,5,9,13,"M/AM (RL), ST (RL)",Winger,Support,Important Player,Full Time,32000.0,30/6/2026
43,Bobby Amartey,"D (C), DM",Leicester,ENG,194 cm,83 kg,19,45000.0,1,3,4,1,6,5,6,5,6,4,7,10,13,10,11,9,11,5,7,13,10,6,2,2,2,4,2,3,2,1,1,3,3,12,8,6,9,12,6,6,5,7,1,1,1,6,D (C),Central Defender,Defend,Youngster,Full Time,725.0,30/6/2024
44,Conrad Ambursley,"DM, M (C)",Coventry,ENG,195 cm,78 kg,16,70000.0,4,3,4,3,10,5,7,4,10,8,12,9,4,13,3,9,10,6,6,6,9,5,3,4,1,3,2,3,3,1,3,2,1,7,6,6,6,5,16,2,6,10,4,1,1,10,DM,Defensive Midfielder,Defend,Youngster,Youth Contract,250.0,30/6/2025
45,Samuel Amissah,D (C),Fulham,ENG,185 cm,86 kg,19,130000.0,3,2,1,1,11,5,5,3,8,8,8,7,8,12,12,4,14,5,5,14,3,7,3,3,1,2,3,3,1,1,3,1,3,12,8,10,5,8,9,7,6,7,1,1,1,6,D (C),Central Defender,Defend,Youngster,Full Time,475.0,30/6/2024
46,Ato Ampah,WB/M/AM (RL),Chelsea,ENG,175 cm,68 kg,19,800000.0,7,11,8,6,6,15,4,6,6,7,16,6,3,6,5,15,6,10,6,10,9,8,2,2,3,3,1,1,1,1,2,3,3,5,9,6,5,5,12,1,5,9,5,7,5,7,"M/AM (RL), ST (RL)",Winger,Attack,Youngster,Full Time,4100.0,30/6/2026
47,Karoy Anderson,M/AM (C),Charlton,JAM,182 cm,77 kg,20,1300000.0,11,12,8,9,11,11,8,9,12,11,12,11,9,9,7,12,7,12,10,10,12,11,1,1,3,1,1,3,2,1,2,3,1,11,10,9,7,11,11,5,12,12,9,4,8,12,M (C),Mezzala,Support,Breakthrough Prospect,Full Time,925.0,30/6/2025
48,Edwin Andersson,WB/M/AM (RL),Stoke,SWE,178 cm,73 kg,21,1600000.0,10,13,7,11,11,14,7,8,9,11,15,8,6,8,3,13,4,8,7,3,11,9,1,3,3,1,2,2,2,2,1,2,2,7,5,10,6,8,12,3,8,13,8,1,10,13,"M/AM (RL), ST (RL)",Winger,Support,Breakthrough Prospect,Full Time,2900.0,30/6/2024
49,Benjamin AndrÃ©,"DM, M (C)",Lille,FRA,180 cm,76 kg,34,0.0,12,11,9,8,14,10,13,11,13,13,13,14,13,12,11,12,12,14,13,14,15,14,2,1,2,1,1,2,2,3,4,4,3,13,15,14,15,13,15,13,15,14,10,8,8,14,"DM, M (C)",Ball Winning Midfielder,Defend,Important Player,Full Time,36000.0,30/6/2026
50,Kai Andrews,ST (C),Coventry,ENG,187 cm,79 kg,20,28000.0,5,8,6,11,14,10,7,11,3,6,10,11,10,9,5,6,5,4,6,1,8,7,3,2,3,3,3,2,4,1,2,3,3,5,5,9,5,8,10,6,6,7,3,2,6,9,ST (C),Poacher,Attack,Youngster,Full Time,750.0,30/6/2024
51,Robert Andrich,"D (C), DM, M (C)",Bayer Leverkusen,GER,186 cm,85 kg,30,16000000.0,8,10,14,8,12,8,13,11,13,12,11,14,13,14,13,12,15,16,14,15,11,13,2,2,1,2,1,2,1,2,1,3,3,17,16,15,14,13,17,15,17,16,10,8,10,12,"DM, M (C)",Ball Winning Midfielder,Defend,Important Player,Full Time,71000.0,30/6/2026
52,Dani Ãngel,ST (C),Wolves,ESP,183 cm,71 kg,17,65000.0,1,3,5,13,8,11,6,8,6,6,13,5,13,7,5,13,3,4,4,5,10,6,2,3,2,1,2,1,1,1,3,1,2,5,7,8,3,12,15,8,5,10,1,1,6,11,ST (C),Poacher,Attack,Youngster,Youth Contract,250.0,30/6/2025
53,Danny Anisjko,AM (C),Nottm Forest,ENG,176 cm,67 kg,18,240000.0,7,9,7,10,13,7,7,7,8,5,12,7,6,8,7,12,6,8,5,7,10,15,2,2,2,1,2,1,1,1,1,2,2,15,7,5,6,9,17,11,8,13,7,2,3,8,AM (C),Shadow Striker,Attack,Youngster,Full Time,250.0,30/6/2024
54,Caleb Ansen,GK,Norwich,ENG,199 cm,103 kg,19,1400000.0,1,2,5,3,5,2,3,3,7,7,7,6,3,19,3,7,7,3,9,3,10,10,14,12,16,5,13,12,13,15,10,15,9,13,10,9,7,5,14,6,7,8,2,1,1,7,GK,Goalkeeper,Defend,Future Prospect,Full Time,1700.0,30/6/2024
55,Antonio SÃ¡nchez,"DM, M/AM (RC)",Mallorca,ESP,179 cm,78 kg,27,5600000.0,8,10,11,9,10,8,12,12,12,10,13,13,9,9,12,13,14,15,13,12,13,11,1,2,1,2,2,3,3,3,3,2,3,13,14,14,13,13,13,13,15,16,6,6,9,11,"DM, M (C)",Ball Winning Midfielder,Defend,Squad Player,Full Time,18750.0,30/6/2025
56,Michail Antonio,"M/AM (R), ST (C)",West Ham,JAM,180 cm,82 kg,35,950000.0,11,13,6,11,12,14,9,13,11,11,15,13,15,12,9,15,9,13,15,8,14,15,3,2,4,3,3,2,3,3,1,2,1,13,13,11,11,12,14,9,14,14,8,15,10,13,"M/AM (RL), ST (RL)",Pressing Forward,Support,Impact Sub,Full Time,99000.0,30/6/2024
57,Vicente AntuÃ±a,"DM, M (C)",Real Oviedo,ESP,176 cm,68 kg,20,60000.0,6,4,3,7,13,6,5,8,12,7,13,7,6,6,9,11,8,6,6,10,10,7,2,2,2,3,2,3,3,1,3,3,1,12,7,6,8,14,7,4,7,10,6,1,1,8,M (C),Central Midfielder,Support,Youngster,Full Time,300.0,30/6/2024
58,Genesis Antwi,"D (RC), WB (R)",Chelsea,SWE,182 cm,76 kg,18,475000.0,9,8,1,2,10,5,6,8,7,9,14,8,7,11,7,13,8,8,10,8,8,9,1,2,3,4,3,1,3,3,1,1,1,9,7,8,8,8,11,4,9,9,4,4,2,8,D (C),Wing-Back,Defend,Youngster,Full Time,1700.0,30/6/2026
59,Alex Aoraha,"DM, M (C)",QPR,IRQ,186 cm,76 kg,22,6000.0,6,7,5,7,12,6,6,6,11,10,9,9,7,11,9,9,12,13,6,11,7,5,1,1,1,1,1,2,3,2,2,2,1,5,8,6,9,14,4,1,13,12,7,4,2,7,M (C),Central Midfielder,Support,Fringe Player,Full Time,575.0,30/6/2024
60,Mauro Arambarri,"DM, M (RC)",Getafe,URU,174 cm,71 kg,29,10500000.0,10,12,11,10,13,11,12,12,13,12,12,14,8,6,13,13,14,16,13,15,12,14,1,2,1,3,3,2,3,3,3,3,3,15,16,13,15,13,15,8,16,16,8,4,6,13,"DM, M (C)",Ball Winning Midfielder,Defend,Important Player,Full Time,56000.0,30/6/2026
61,Ronald Araujo,"D (RC), WB (R)",Barcelona,URU,188 cm,91 kg,26,115000000.0,7,11,7,11,13,9,11,7,11,11,14,16,17,16,18,16,15,16,16,17,13,12,1,3,3,2,2,4,1,4,1,1,1,16,18,15,17,14,18,16,15,17,5,10,13,12,D (C),Wide Centre-Back,Defend,Regular Starter,Full Time,155000.0,30/6/2029
62,Oliver Arblaster,"DM, M (C)",Sheffield United,ENG,175 cm,65 kg,21,4000000.0,10,12,7,8,12,11,8,13,13,13,12,13,7,7,9,12,10,12,9,10,13,11,1,1,1,3,3,3,1,1,1,2,3,11,10,13,12,13,12,12,13,13,5,5,8,12,"M (C), AM (RLC), ST (RL)",Advanced Playmaker,Support,Breakthrough Prospect,Full Time,2300.0,30/6/2026
63,Ãngel Arcos,"AM (L), ST (C)",Celta Vigo,ESP,187 cm,73 kg,17,300000.0,6,14,6,15,13,12,10,6,9,6,7,8,9,11,7,11,4,7,4,3,11,12,2,2,2,1,2,2,1,3,2,2,1,6,3,7,8,4,13,7,8,12,3,7,7,14,ST (C),Advanced Forward,Attack,Youngster,Youth Contract,65.0,30/6/2026
64,Giacomo Arduini,M (C),Roma,ITA,188 cm,78 kg,18,240000.0,5,5,4,7,12,5,7,7,8,9,13,8,4,11,7,10,3,9,5,10,12,5,1,3,1,2,3,2,1,1,2,2,2,5,4,5,7,11,2,9,6,4,5,2,5,12,"M (C), AM (RLC), ST (RL)",Central Midfielder,Attack,Youngster,Full Time,400.0,30/6/2024
65,Alphonse Areola,GK,West Ham,FRA,195 cm,94 kg,32,20000000.0,1,3,6,1,10,8,12,8,10,9,12,14,3,15,3,12,13,15,14,2,13,17,14,12,12,8,15,13,14,15,12,12,13,8,13,15,14,12,14,10,15,13,3,2,1,10,GK,Sweeper Keeper,Defend,Backup,Full Time,140000.0,30/6/2025
66,Pele Arganese-McDermott,D (C),Tottenham,ENG,180 cm,71 kg,19,160000.0,1,2,1,1,6,5,5,3,6,2,8,5,12,7,13,10,13,3,7,11,10,6,1,2,2,1,3,1,2,2,1,3,3,8,8,4,8,13,10,6,5,6,1,3,5,5,D (C),Central Defender,Defend,Youngster,Full Time,750.0,30/6/2024
67,Joe Aribo,"M (C), AM (RLC)",Southampton,NGA,188 cm,74 kg,28,6200000.0,10,16,8,14,18,15,12,14,12,14,11,16,8,13,6,11,9,14,15,10,14,15,1,2,2,1,2,1,2,3,2,2,2,7,8,15,10,12,11,5,11,13,10,6,9,15,AM (C),Attacking Midfielder,Attack,Squad Player,Full Time,82000.0,30/6/2024
68,Will Armitage,D (C),Southampton,ENG,190 cm,82 kg,20,250000.0,6,1,3,7,7,5,7,7,15,11,10,10,9,13,8,7,15,10,8,14,9,9,3,2,1,4,3,3,1,3,3,3,1,13,9,8,10,10,4,3,8,9,5,5,2,12,D (C),Central Defender,Defend,Youngster,Full Time,575.0,30/6/2024
69,Adam Armstrong,"AM (R), ST (C)",Southampton,ENG,172 cm,69 kg,28,16500000.0,8,12,12,13,13,11,12,13,10,10,17,13,8,8,5,17,6,14,7,5,14,10,3,2,1,3,3,3,1,2,2,3,2,7,11,10,11,13,13,6,13,12,7,4,13,13,"AM (RL), ST (RL)",Inside Forward,Support,Important Player,Full Time,35000.0,30/6/2025
70,Arnau MartÃ­nez,"D (RC), WB (R)",Girona,ESP,182 cm,79 kg,22,12500000.0,12,9,8,8,11,9,9,13,12,12,12,15,9,11,13,13,14,14,12,15,12,11,3,1,3,2,2,4,3,3,3,3,2,13,14,14,15,13,13,12,14,15,9,12,11,13,D (RL),Full-Back,Support,Regular Starter,Full Time,28000.0,30/6/2025
71,Maximilian Arnold,"DM, M (C)",Wolfsburg,GER,184 cm,74 kg,31,14000000.0,13,11,17,10,14,10,15,11,15,14,12,13,10,11,12,12,14,17,12,12,11,15,1,1,2,3,3,2,1,2,3,1,1,16,13,14,13,13,16,15,16,17,15,6,13,14,"DM, M (C)",Ball Winning Midfielder,Defend,Important Player,Full Time,125000.0,30/6/2024
72,Ricard Artero,"DM, M (C)",Girona,ESP,181 cm,77 kg,22,3500000.0,10,11,9,9,14,12,11,11,13,12,13,11,9,9,9,13,12,14,12,10,14,14,2,2,2,1,2,2,3,3,1,3,2,12,10,11,11,12,14,9,13,13,10,8,9,14,"DM, M (C)",Mezzala,Defend,Squad Player,Full Time,3500.0,30/6/2024
73,Pedro Arufe,D (L),Celta Vigo,ESP,186 cm,74 kg,17,100000.0,10,1,1,3,7,5,3,5,7,5,7,7,7,11,5,11,9,5,6,9,11,7,3,3,2,4,4,1,4,1,1,1,1,15,7,4,12,12,17,4,7,7,5,6,1,7,D (RL),Full-Back,Defend,Youngster,Youth Contract,65.0,30/6/2026
74,RaÃºl Asencio,D (C),Real Madrid,ESP,184 cm,84 kg,22,13500000.0,8,10,6,5,11,5,8,6,14,10,15,15,16,15,14,15,14,18,17,16,14,17,3,1,1,3,2,3,2,2,3,3,3,16,14,13,9,11,13,8,12,12,9,11,8,12,D (C),Wide Centre-Back,Defend,Fringe Player,Full Time,21500.0,30/6/2024
